Noms,Types,Gratuit/Payant,Liens
https://www.thingiverse.com/,Dépôt,Gratuit,https://www.thingiverse.com/
Phttps://www.printables.com/fr,Dépôt,Gratuit,https://www.printables.com/fr
YouMagine,Dépôt,Gratuit,https://www.youmagine.com/
NIH 3D Print Exchange,Dépôt,Gratuit,https://3dprint.nih.gov/
GrabCAD Library,Dépôt,Gratuit,https://grabcad.com/library
Zortrax Library,Dépôt,Gratuit,https://library.zortrax.com/
Repables,Dépôt,Gratuit,https://repables.com/
Libre3D,Dépôt,Gratuit,https://libre3d.com/
NASA,Dépôt,Gratuit,https://nasa3d.arc.nasa.gov/models/printable
Instructables,Dépôt,Gratuit,
Dremel Lesson Plans,Dépôt,Gratuit,
Polar Cloud,Dépôt,Gratuit,
Yeggi,moteur de recherche,Gratuit/Payant,
STLFinder,moteur de recherche,Gratuit/Payant,
3DFindIt,moteur de recherche,Gratuit/Payant,
https://www.cgtrader.com/,Marché de modèles,Gratuit/Payant,https://www.cgtrader.com/
https://cults3d.com/fr,Marché de modèles,Gratuit/Payant,https://cults3d.com/fr
https://www.myminifactory.com/fr/,Marché de modèles,Gratuit/Payant,https://www.myminifactory.com/fr/
Pinshape,Marché de modèles,Gratuit/Payant,https://pinshape.com/
TurboSquid,Dépôt,Gratuit/Payant,https://www.turbosquid.com/Search/3D-Models/free/stl
3DExport,Marché de modèles,Gratuit/Payant,
Free3D,Dépôt,Gratuit/Payant,
Threeding,Marché de modèles,Gratuit/Payant,
Redpah,Marché de modèles,Gratuit/Payant,
3DShook,Abonnement,Gratuit/Payant,
XYZprinting 3D Gallery,Marché de modèles,Gratuit/Payant,
3Dagogo,Marché de modèles,Gratuit/Payant,
Fab365,Marché de modèles,Gratuit/Payant,
3DKitBash,Marché de modèles,Gratuit/Payant,
Shapetizer,Marché de modèles,Gratuit/Payant,
https://3dprint.nih.gov/,Dépôt,Gratuit,
https://www.morphosource.org/,Dépôt,Gratuit,